method,path,in_burp,burp_hits,burp_statuses,swagger_tag,swagger_summary
POST,/api/v1/ActPushInsuranceInfo/ActPushInsuranceInfoExport,yes,1,500,ActPushInsuranceInfo,导出 Care套装推送列表
POST,/api/v1/ActPushInsuranceInfo/ActPushInsuranceToVoid,yes,1,200,ActPushInsuranceInfo,套装Care推送记录-作废操作
POST,/api/v1/ActPushInsuranceInfo/Delete,yes,1,200,ActPushInsuranceInfo,删除套装Care(运维接口)
GET,/api/v1/ActPushInsuranceInfo/GetSuitInsuranceList,yes,1,200,ActPushInsuranceInfo,套装care(suitCare)=是 的保险型号列表
POST,/api/v1/ActPushInsuranceInfo/LoadActPushInsurancePageList,yes,1,500,ActPushInsuranceInfo,获取Care套装推送列表
POST,/api/v1/Activation/ActivationCodeApplyPolicy,yes,1,200,Activation,激活码投保
POST,/api/v1/Activation/ActivationCodeApplyPolicyMain,yes,1,200,Activation,"激活码投保 <br>海外环境转发时调用，调用方只提供海外环境调用，不允许对外开放"
POST,/api/v1/Activation/CreateActivationCode,yes,1,200,Activation,生成激活码
POST,/api/v1/Activation/GetCodesStatus,yes,1,200,Activation,批量查询卡号状态
POST,/api/v1/Activation/SendMsgByAgreementNo,yes,1,200,Activation,根据协议号发信息
POST,/api/v1/Activation/ShieldPlusActCodeApplyPolicy,yes,1,200,Activation,极享原单激活码投保
GET,/api/v1/Activation/VerifyActiveCodeForSupport,yes,1,200,Activation,Support验证 Care 激活码
POST,/api/v1/Activation/VerifyShieldPlusActiveCode,yes,1,200,Activation,验证极享激活码
POST,/api/v1/Activation/VerifyShieldPlusActiveCodeOverSea,yes,1,200,Activation,"验证极享激活码(另一环境) <br>由VerifyShieldPlusActiveCode跳转时调用"
POST,/api/v1/Activation/VerifyShieldPlusRenewActiveCode,yes,1,200,Activation,验证极享续享激活码
POST,/api/v1/Activation/VerifyShieldPlusRenewActiveCodeOverSea,yes,1,200,Activation,"验证极享续享激活码（另一环境） <br>由VerifyShieldPlusRenewActiveCode跳转时调用"
POST,/api/v1/ActivationManager/ActivationDown,yes,1,200,ActivationManager,生成激活码
POST,/api/v1/ActivationManager/ActivationExport,yes,1,500,ActivationManager,导出激活码
POST,/api/v1/ActivationManager/ActivationList,yes,1,500,ActivationManager,获取激活码列表
POST,/api/v1/ActivationManager/ActivationOperation,yes,1,200,ActivationManager,激活码的作废或恢复操作
GET,/api/v1/ActivationManager/ActivationProductType,yes,1,200,ActivationManager,"获取保险类型,激活码生成页专用"
POST,/api/v1/ActivationManager/ActivationcodeList,yes,1,200,ActivationManager,激活码-追踪查询
POST,/api/v1/ActivationManager/BatchCancelActivation,yes,1,200,ActivationManager,批量作废激活码
POST,/api/v1/ActivationManager/InvalidActivationList,yes,1,500,ActivationManager,获取未使用的激活码
POST,/api/v1/ActivationManager/UnLockActivation,yes,1,200,ActivationManager,解锁激活码
